species,scheme,engine_severity,total_genome_count,non_refseq_count,refseq_count,pass_count,warn_count,fail_count
Enterococcus faecium,qualibact-v1.0,info,33675,33288,387,29908,5320,1275
Enterococcus gallinarum,qualibact-v1.0,warn,278,268,10,270,19,15
Enterococcus hirae,qualibact-v1.0,info,947,913,34,850,96,50
Enterococcus lactis,qualibact-v1.0,info,1219,1191,28,1113,122,57
Erwinia amylovora,qualibact-v1.0,warn,153,120,33,113,6,17
Erysipelothrix rhusiopathiae,qualibact-v1.0,info,556,533,23,502,48,35
Escherichia albertii,qualibact-v1.0,info,731,650,81,594,65,33
Escherichia coli,qualibact-v1.0,warn,376660,371627,5033,342400,44328,10619
Escherichia fergusonii,qualibact-v1.0,warn,288,220,68,206,21,14
Escherichia marmotae,qualibact-v1.0,warn,478,463,15,426,59,38
Escherichia ruysiae,qualibact-v1.0,warn,122,121,1,110,9,12
Flavobacterium psychrophilum,qualibact-v1.0,warn,195,154,41,140,19,13
Francisella tularensis,qualibact-v1.0,info,1069,1005,64,940,90,63
Fusobacterium necrophorum,qualibact-v1.0,warn,356,350,6,329,32,19
Glaesserella parasuis,qualibact-v1.0,warn,529,484,45,454,50,20
Haemophilus haemolyticus,qualibact-v1.1,warn,149,143,6,134,11,13
Haemophilus influenzae,qualibact-v1.1,info,11772,11473,299,10503,1422,575
Haemophilus parainfluenzae,qualibact-v1.0,warn,160,139,21,130,15,12
Hafnia paralvei,qualibact-v1.0,warn,219,210,9,193,23,17
Helicobacter pylori,qualibact-v1.0,info,2239,1863,376,1762,171,95
Hungateiclostridium thermocellum,qualibact-v1.0,warn,304,298,6,290,14,15
Janthinobacterium lividum,qualibact-v1.0,warn,126,120,6,116,10,12
Klebsiella aerogenes,qualibact-v1.0,info,1614,1516,98,1386,157,79
Klebsiella africana,REFSEQ-QC-v1,error,12,6,6,0,0,99
Klebsiella grimontii,qualibact-v1.0,info,635,600,35,548,66,35
Klebsiella huaxiensis,REFSEQ-QC-v1,error,8,4,4,1,0,26
Klebsiella michiganensis,qualibact-v1.0,info,1832,1717,115,1526,255,100
Klebsiella ornithinolytica,qualibact-v1.0,info,658,591,67,558,57,41
Klebsiella oxytoca,qualibact-v1.0,info,1146,1086,60,980,150,49
Klebsiella pasteurii,REFSEQ-QC-v1,error,36,18,18,,,
Klebsiella planticola,qualibact-v1.0,warn,313,286,27,268,29,11
Klebsiella pneumoniae,qualibact-v1.0,info,70874,67586,3288,62061,7710,2920
Klebsiella quasipneumoniae,qualibact-v1.1,info,2156,1980,176,1790,228,74
Klebsiella quasivariicola,REFSEQ-QC-v1,error,8,4,4,,,
Klebsiella spallanzanii,REFSEQ-QC-v1,error,14,7,7,15,1,4
Klebsiella variicola,qualibact-v1.1,info,2141,1952,189,1826,146,78
Lacticaseibacillus paracasei,qualibact-v1.0,warn,734,611,123,564,80,27
Lacticaseibacillus rhamnosus,qualibact-v1.0,info,696,598,98,577,40,30
Lactiplantibacillus plantarum,qualibact-v1.0,info,1049,679,370,605,64,41
Lactobacillus acidophilus,qualibact-v1.0,warn,159,131,28,123,16,7
Lactobacillus crispatus,qualibact-v1.0,warn,143,108,35,102,10,10
Lactobacillus gasseri,qualibact-v1.0,warn,146,123,23,115,7,9
Lactobacillus johnsonii,qualibact-v1.0,warn,225,198,27,211,9,8
Lactobacillus paragasseri,qualibact-v1.0,warn,292,284,8,268,12,25
Lactococcus lactis,qualibact-v1.0,warn,339,228,111,213,19,16
Legionella fraseri,qualibact-v1.0,info,547,547,0,506,51,40
Legionella longbeachae,qualibact-v1.0,warn,169,162,7,151,24,14
Legionella pneumophila,qualibact-v1.0,info,6635,6428,207,5988,708,326
Leptospira borgpetersenii,qualibact-v1.0,warn,184,157,27,151,7,17
Leptospira interrogans,qualibact-v1.0,warn,682,620,62,574,53,29
Ligilactobacillus salivarius,qualibact-v1.0,warn,312,268,44,252,19,17
Limosilactobacillus fermentum,qualibact-v1.0,warn,542,456,86,415,39,24
Limosilactobacillus mucosae,qualibact-v1.0,error,103,96,7,89,10,11
Limosilactobacillus reuteri,qualibact-v1.0,warn,309,237,72,231,28,9
Listeria grayi,qualibact-v1.0,warn,108,107,1,99,12,15
Listeria innocua,qualibact-v1.0,info,1576,1555,21,1467,186,116
Listeria monocytogenes,qualibact-v1.0,info,60247,59564,683,57757,5882,3048
Listeria seeligeri,qualibact-v1.0,warn,249,244,5,230,33,14
Listeria welshimeri,qualibact-v1.0,warn,301,297,4,296,56,27
Mammaliicoccus sciuri,qualibact-v1.0,warn,473,408,65,377,47,18
Mannheimia haemolytica,qualibact-v1.0,warn,2672,2512,160,2373,172,191
Mesomycoplasma hyopneumoniae,qualibact-v1.0,warn,136,112,24,105,7,6
Micrococcus luteus,qualibact-v1.0,warn,313,280,33,261,17,20
Moraxella bovoculi,qualibact-v1.0,warn,216,207,9,180,31,10
Moraxella catarrhalis,qualibact-v1.0,info,2301,2288,13,2183,199,97
Morganella morganii,qualibact-v1.0,warn,504,422,82,394,41,25
Mycobacterium abscessus,qualibact-v1.0,info,5573,5471,102,5216,399,266
Mycobacterium avium,qualibact-v1.0,info,3231,3154,77,2984,241,259
Mycobacterium chelonae,qualibact-v1.0,warn,195,185,10,167,22,10
Mycobacterium intracellulare,qualibact-v1.0,info,2032,1991,41,1850,176,112
Mycobacterium kansasii,qualibact-v1.0,info,656,653,3,624,41,59
Mycobacterium marinum,qualibact-v1.0,info,1077,1069,8,986,139,45
Mycobacterium smegmatis,qualibact-v1.0,warn,414,396,18,375,23,40
Mycobacterium tuberculosis,qualibact-v1.0,info,170868,170368,500,158145,12446,8968
Mycobacterium xenopi,REFSEQ-QC-v1,error,4,2,2,0,0,28
Mycoplasma capri,qualibact-v1.0,error,145,145,0,152,9,15
Mycoplasmoides pneumoniae,qualibact-v1.0,warn,343,247,96,226,23,23
Mycoplasmopsis bovis,qualibact-v1.0,info,1408,1286,122,1232,109,70
Neisseria bergeri,qualibact-v1.1,warn,110,110,0,108,10,14
Neisseria flavescens,qualibact-v1.1,warn,114,111,3,109,11,9
Neisseria gonorrhoeae,qualibact-v1.1,warn,53435,53163,272,49415,5376,2554
Neisseria lactamica,qualibact-v1.1,info,1327,1323,4,1265,84,74
Neisseria meningitidis,qualibact-v1.1,,32386,32259,127,,,
Neisseria perflava,qualibact-v1.1,error,96,94,2,93,6,6
Neisseria polysaccharea,qualibact-v1.1,warn,107,106,1,101,8,8
Oenococcus oeni,qualibact-v1.0,warn,120,111,9,105,11,11
Ornithobacterium rhinotracheale,qualibact-v1.0,warn,162,157,5,148,7,22
Paenibacillus larvae,qualibact-v1.0,info,1055,1043,12,937,127,91
Parabacteroides distasonis,qualibact-v1.0,info,1970,1942,28,1754,194,150
Parabacteroides goldsteinii,qualibact-v1.0,warn,113,109,4,100,12,9
Parabacteroides merdae,qualibact-v1.0,warn,421,417,4,368,50,28
Pasteurella multocida,qualibact-v1.0,info,1262,1054,208,971,122,46
Pectobacterium brasiliense,qualibact-v1.0,error,111,83,28,86,7,10
Pediococcus acidilactici,qualibact-v1.0,warn,196,142,54,129,13,11
Pediococcus pentosaceus,qualibact-v1.0,warn,173,118,55,112,17,11
Phocaeicola dorei,qualibact-v1.0,warn,317,307,10,271,32,32
Phocaeicola vulgatus,qualibact-v1.0,info,728,715,13,637,67,54
Priestia megaterium,qualibact-v1.0,warn,289,203,86,183,32,10
Proteus mirabilis,qualibact-v1.0,warn,2902,2675,227,2496,333,202
Providencia rettgeri,qualibact-v1.0,warn,397,356,41,332,31,24
Providencia stuartii,qualibact-v1.0,warn,296,263,33,249,22,10
Pseudoalteromonas nigrifaciens,qualibact-v1.0,warn,186,185,1,181,4,10
Pseudomonas aeruginosa,qualibact-v1.0,info,41455,40091,1364,36211,5346,1732
