species,scheme,metric,distribution,mean,std,median,q1,q3,iqr,min,max,lower_bound,upper_bound,warn_lower,warn_upper,FINAL_LOWER,FINAL_UPPER,WARN_LOWER,WARN_UPPER,species,count,refseq_count,refseq_distribution,refseq_mean,refseq_std,refseq_median,refseq_q1,refseq_q3,refseq_iqr,refseq_min,refseq_max,refseq_lower_bound,refseq_upper_bound,refseq_warn_lower,refseq_warn_upper,KS_statistic,KS_p_value,Wasserstein_Distance
Acinetobacter baylyi,qualibact-v1.0,N50,non-normal,303014.03305785125,152688.27442510528,296780.5,200919.75,426071.0,225151.25,14417.0,792728.0,20271.13,792700.0,39477.600000000006,505219.0,20271.13,792700.0,39477.6,505219.0,Acinetobacter baylyi,242,0,,,,,,,,,,,,,,,,
Acinetobacter baylyi,qualibact-v1.0,number,non-normal,62.049586776859506,47.397885233653994,48.5,41.0,62.0,21.0,23.0,408.0,23.0,366.52499999999884,27.05,203.5999999999999,23.0,366.52,27.05,203.6,Acinetobacter baylyi,242,0,,,,,,,,,,,,,,,,
Acinetobacter baylyi,qualibact-v1.0,longest,non-normal,611270.4545454546,279761.2008450353,579446.0,395249.5,790415.0,395165.5,72558.0,1422396.0,100218.195,1422396.0,155425.125,1092098.0,100218.2,1422396.0,155425.12,1092098.0,Acinetobacter baylyi,242,0,,,,,,,,,,,,,,,,
Acinetobacter baylyi,qualibact-v1.0,GC_Content,non-normal,40.36106115702479,0.04789424881690592,40.357699999999994,40.343625,40.373275,0.029649999999996624,40.1031,40.6377,40.136745499999996,40.580109,40.313855000000004,40.4324325,40.1367,40.5801,40.3139,40.4324,Acinetobacter baylyi,242,3,insufficient_data,40.447466666666664,0.014039547317805852,40.4489,40.43925,40.4564,0.017150000000000887,40.4296,40.4639,40.429793000000004,40.463750000000005,40.430565,40.46315,0.9710743801652892,9.912890474951372e-05,0.0908055096418749
Acinetobacter baylyi,qualibact-v1.0,Completeness_Specific,non-normal,99.98698347107437,0.008405511248971494,99.99,99.99,99.99,0.0,99.96,100.0,99.96,100.0,99.97,100.0,98.37,100.0,99.97,100.0,Acinetobacter baylyi,242,3,insufficient_data,98.71666666666665,0.2451303508113346,98.89,98.63,98.89,0.2600000000000051,98.37,98.89,98.3752,98.89,98.396,98.89,1.0,8.260742062459474e-07,1.270316804407708
Acinetobacter baylyi,qualibact-v1.0,Contamination,non-normal,0.10764462809917358,0.1265034778540069,0.07,0.05,0.11,0.06,0.02,1.18,0.02,0.9258999999999998,0.02,0.33749999999999947,0.02,0.93,0.02,0.34,Acinetobacter baylyi,242,3,insufficient_data,0.5666666666666667,0.20741798914805396,0.42,0.42,0.64,0.22000000000000003,0.42,0.86,0.42,0.8556,0.42,0.838,0.9834710743801653,2.891259721860815e-05,0.46265840220385673
Acinetobacter baylyi,qualibact-v1.0,Total_Coding_Sequences,non-normal,3275.4752066115702,77.2447101946566,3276.5,3250.25,3307.0,56.75,3002.0,3665.0,3002.205,3601.9399999999982,3024.3,3393.925,3002.2,3601.94,3024.3,3393.92,Acinetobacter baylyi,242,3,insufficient_data,3370.0,14.98888477061141,3362.0,3359.5,3376.5,17.0,3357.0,3391.0,3357.05,3390.71,3357.25,3389.55,0.9628099173553719,0.0001817363253741083,101.38429752066116
Acinetobacter baylyi,qualibact-v1.0,Genome_Size,non-normal,3552220.9752066117,76659.95161584168,3559168.5,3525649.25,3570763.25,45114.0,3273444.0,3936246.0,3273777.64,3868785.114999998,3274430.875,3629927.925,3273777.64,3868785.11,3274430.88,3629927.92,Acinetobacter baylyi,242,3,insufficient_data,3611801.6666666665,13341.088444684297,3606701.0,3602661.0,3618392.0,15731.0,3598621.0,3630083.0,3598701.8,3629849.18,3599025.0,3628913.9,0.7851239669421488,0.021672056800862427,66439.24517906335
Acinetobacter johnsonii,qualibact-v1.0,N50,non-normal,118656.59770114943,98792.55943403741,85992.0,59507.5,120608.0,61100.5,29738.0,383696.0,30240.24,383596.67,32892.75,383452.25,30240.24,383596.67,32892.75,383452.25,Acinetobacter johnsonii,87,0,,,,,,,,,,,,,,,,
Acinetobacter johnsonii,qualibact-v1.0,number,non-normal,176.70114942528735,107.18124245552953,167.0,101.5,242.0,140.5,24.0,470.0,24.43,460.10999999999984,26.0,444.49999999999994,24.43,460.11,26.0,444.5,Acinetobacter johnsonii,87,0,,,,,,,,,,,,,,,,
Acinetobacter johnsonii,qualibact-v1.0,longest,non-normal,315217.724137931,195081.24515425717,246072.0,194344.0,337101.5,142757.5,109773.0,825134.0,111279.29,825134.0,125105.8,825074.45,111279.29,825134.0,125105.8,825074.45,Acinetobacter johnsonii,87,0,,,,,,,,,,,,,,,,
Acinetobacter johnsonii,qualibact-v1.0,GC_Content,normal,41.293424137931034,0.12400428984562949,41.296,41.20184999999999,41.398700000000005,0.19685000000001196,40.9579,41.6017,40.997933,41.570482,41.07064,41.51554,40.9979,41.675,41.0706,41.5155,Acinetobacter johnsonii,87,25,normal,41.361932,0.14547861346603466,41.3854,41.273,41.471,0.1979999999999933,41.0103,41.675,41.020344,41.660911999999996,41.060520000000004,41.60456,0.28229885057471266,0.07361150862508008,0.07345940229885038
Acinetobacter johnsonii,qualibact-v1.0,Completeness_Specific,non-normal,99.99977011494252,0.0014986672195875831,100.0,100.0,100.0,0.0,99.99,100.0,99.99,100.0,100.0,100.0,86.87,100.0,100.0,100.0,Acinetobacter johnsonii,87,25,normal,91.89200000000001,2.3105895351619687,91.35,90.31,93.74,3.4299999999999926,86.87,95.79,87.0836,95.79,87.938,95.79,1.0,3.311598139653174e-25,8.10777011494253
Acinetobacter johnsonii,qualibact-v1.0,Contamination,non-normal,0.486896551724138,0.3099065871302674,0.41,0.265,0.615,0.35,0.05,1.25,0.0629,1.25,0.08,1.22,0.06,8.12,0.08,1.22,Acinetobacter johnsonii,87,25,normal,4.03,1.8200395600096169,3.36,2.76,5.51,2.75,0.91,8.12,1.0132,8.001199999999999,1.4260000000000002,7.525999999999998,0.96,1.1126969749234673e-21,3.5431034482758634
Acinetobacter johnsonii,qualibact-v1.0,Total_Coding_Sequences,normal,3517.816091954023,184.9093924580629,3485.0,3399.0,3667.0,268.0,3208.0,4114.0,3211.87,4073.5799999999995,3223.1,3884.85,3211.87,4202.0,3223.1,3884.85,Acinetobacter johnsonii,87,24,normal,3601.1666666666665,238.32639850050649,3566.5,3452.5,3716.75,264.25,3232.0,4202.0,3236.6,4179.115000000001,3255.0,4087.5750000000003,0.20689655172413793,0.34348843061537293,85.6551724137931
Acinetobacter johnsonii,qualibact-v1.0,Genome_Size,normal,3597413.4942528736,148247.23313894737,3620172.0,3507392.5,3704694.5,197302.0,3301602.0,4003479.0,3308306.99,3967272.139999999,3329291.8,3903974.9,3308306.99,4135620.0,3329291.8,3903974.9,Acinetobacter johnsonii,87,25,normal,3660847.6,226861.5775660568,3631330.0,3518019.0,3798074.0,280055.0,3343033.0,4135620.0,3343945.96,4131671.16,3347597.8,4115875.8,0.296551724137931,0.049719001865715484,74496.30896551724
Acinetobacter nosocomialis,qualibact-v1.0,N50,non-normal,168175.7601246106,123082.61665528535,124915.0,93669.0,202502.0,108833.0,19434.0,937629.0,20670.4,802378.5999999964,29549.0,470815.0,20670.4,802378.6,29549.0,470815.0,Acinetobacter nosocomialis,321,0,,,,,,,,,,,,,,,,
Acinetobacter nosocomialis,qualibact-v1.0,number,non-normal,108.1246105919003,62.59052050628046,96.0,71.0,128.0,57.0,26.0,449.0,29.6,421.19999999999993,34.0,282.0,29.6,421.2,34.0,282.0,Acinetobacter nosocomialis,321,0,,,,,,,,,,,,,,,,
Acinetobacter nosocomialis,qualibact-v1.0,longest,non-normal,445377.0903426791,304342.98655223503,356557.0,271622.0,514280.0,242658.0,73523.0,1873802.0,77345.6,1873775.0,102214.0,1389201.0,77345.6,1873775.0,102214.0,1389201.0,Acinetobacter nosocomialis,321,0,,,,,,,,,,,,,,,,
