species,metric,lower_bounds,upper_bounds
Limosilactobacillus fermentum,N50,23000,
Limosilactobacillus fermentum,no_of_contigs,,390
Limosilactobacillus fermentum,GC_Content,49,54
Limosilactobacillus fermentum,Completeness_Specific,84,
Limosilactobacillus fermentum,Contamination,,12
Limosilactobacillus fermentum,Total_Coding_Sequences,1700,2700
Limosilactobacillus fermentum,Genome_Size,1600000,2600000
Limosilactobacillus mucosae,N50,63000,
Limosilactobacillus mucosae,no_of_contigs,,120
Limosilactobacillus mucosae,GC_Content,45,48
Limosilactobacillus mucosae,Completeness_Specific,96,
Limosilactobacillus mucosae,Contamination,,2
Limosilactobacillus mucosae,Total_Coding_Sequences,1500,2600
Limosilactobacillus mucosae,Genome_Size,1600000,2700000
Limosilactobacillus reuteri,N50,14000,
Limosilactobacillus reuteri,no_of_contigs,,420
Limosilactobacillus reuteri,GC_Content,37,41
Limosilactobacillus reuteri,Completeness_Specific,90,
Limosilactobacillus reuteri,Contamination,,6
Limosilactobacillus reuteri,Total_Coding_Sequences,1600,3100
Limosilactobacillus reuteri,Genome_Size,1600000,3000000
Listeria grayi,N50,130000,
Listeria grayi,no_of_contigs,,100
Listeria grayi,GC_Content,40,43
Listeria grayi,Completeness_Specific,82,
Listeria grayi,Contamination,,8
Listeria grayi,Total_Coding_Sequences,2300,3200
Listeria grayi,Genome_Size,2300000,3200000
Listeria innocua,N50,44000,
Listeria innocua,no_of_contigs,,200
Listeria innocua,GC_Content,36,39
Listeria innocua,Completeness_Specific,94,
Listeria innocua,Contamination,,3
Listeria innocua,Total_Coding_Sequences,2400,3600
Listeria innocua,Genome_Size,2400000,3500000
Listeria monocytogenes,N50,60000,
Listeria monocytogenes,no_of_contigs,,130
Listeria monocytogenes,GC_Content,36,40
Listeria monocytogenes,Completeness_Specific,95,
Listeria monocytogenes,Contamination,,6
Listeria monocytogenes,Total_Coding_Sequences,2400,3700
Listeria monocytogenes,Genome_Size,2500000,3600000
Listeria seeligeri,N50,82000,
Listeria seeligeri,no_of_contigs,,110
Listeria seeligeri,GC_Content,36,39
Listeria seeligeri,Completeness_Specific,97,
Listeria seeligeri,Contamination,,2
Listeria seeligeri,Total_Coding_Sequences,2400,3400
Listeria seeligeri,Genome_Size,2400000,3400000
Listeria welshimeri,N50,71000,
Listeria welshimeri,no_of_contigs,,120
Listeria welshimeri,GC_Content,35,38
Listeria welshimeri,Completeness_Specific,98,
Listeria welshimeri,Contamination,,4
Listeria welshimeri,Total_Coding_Sequences,2300,3400
Listeria welshimeri,Genome_Size,2400000,3300000
Mammaliicoccus sciuri,N50,46000,
Mammaliicoccus sciuri,no_of_contigs,,360
Mammaliicoccus sciuri,GC_Content,31,34
Mammaliicoccus sciuri,Completeness_Specific,95,
Mammaliicoccus sciuri,Contamination,,6
Mammaliicoccus sciuri,Total_Coding_Sequences,2300,3500
Mammaliicoccus sciuri,Genome_Size,2300000,3500000
Mannheimia haemolytica,N50,23000,
Mannheimia haemolytica,no_of_contigs,,250
Mannheimia haemolytica,GC_Content,39,43
Mannheimia haemolytica,Completeness_Specific,86,
Mannheimia haemolytica,Contamination,,8
Mannheimia haemolytica,Total_Coding_Sequences,2000,3300
Mannheimia haemolytica,Genome_Size,2100000,3200000
Mesomycoplasma hyopneumoniae,N50,36000,
Mesomycoplasma hyopneumoniae,no_of_contigs,,100
Mesomycoplasma hyopneumoniae,GC_Content,27,30
Mesomycoplasma hyopneumoniae,Completeness_Specific,93,
Mesomycoplasma hyopneumoniae,Contamination,,4
Mesomycoplasma hyopneumoniae,Total_Coding_Sequences,600,900
Mesomycoplasma hyopneumoniae,Genome_Size,700000,1100000
Micrococcus luteus,N50,8000,
Micrococcus luteus,no_of_contigs,,580
Micrococcus luteus,GC_Content,71,75
Micrococcus luteus,Completeness_Specific,91,
Micrococcus luteus,Contamination,,4
Micrococcus luteus,Total_Coding_Sequences,1900,3200
Micrococcus luteus,Genome_Size,2100000,3100000
Moraxella bovoculi,N50,49000,
Moraxella bovoculi,no_of_contigs,,120
Moraxella bovoculi,GC_Content,44,47
Moraxella bovoculi,Completeness_Specific,94,
Moraxella bovoculi,Contamination,,3
Moraxella bovoculi,Total_Coding_Sequences,1700,2700
Moraxella bovoculi,Genome_Size,1700000,2700000
Moraxella catarrhalis,N50,121000,
Moraxella catarrhalis,no_of_contigs,,80
Moraxella catarrhalis,GC_Content,40,43
Moraxella catarrhalis,Completeness_Specific,97,
Moraxella catarrhalis,Contamination,,2
Moraxella catarrhalis,Total_Coding_Sequences,1400,2200
Moraxella catarrhalis,Genome_Size,1600000,2300000
Morganella morganii,N50,39000,
Morganella morganii,no_of_contigs,,270
Morganella morganii,GC_Content,49,53
Morganella morganii,Completeness_Specific,83,
Morganella morganii,Contamination,,22
Morganella morganii,Total_Coding_Sequences,3000,4800
Morganella morganii,Genome_Size,3300000,4900000
Mycobacterium abscessus,N50,67000,
Mycobacterium abscessus,no_of_contigs,,200
Mycobacterium abscessus,GC_Content,62,66
Mycobacterium abscessus,Completeness_Specific,94,
Mycobacterium abscessus,Contamination,,4
Mycobacterium abscessus,Total_Coding_Sequences,4100,6300
Mycobacterium abscessus,Genome_Size,4200000,6200000
Mycobacterium avium,N50,13000,
Mycobacterium avium,no_of_contigs,,680
Mycobacterium avium,GC_Content,67,71
Mycobacterium avium,Completeness_Specific,92,
Mycobacterium avium,Contamination,,8
Mycobacterium avium,Total_Coding_Sequences,4000,6300
Mycobacterium avium,Genome_Size,4200000,6500000
Mycobacterium chelonae,N50,72000,
Mycobacterium chelonae,no_of_contigs,,190
Mycobacterium chelonae,GC_Content,62,66
Mycobacterium chelonae,Completeness_Specific,97,
Mycobacterium chelonae,Contamination,,3
Mycobacterium chelonae,Total_Coding_Sequences,4200,6600
Mycobacterium chelonae,Genome_Size,4400000,6400000
Mycobacterium intracellulare,N50,31000,
Mycobacterium intracellulare,no_of_contigs,,470
Mycobacterium intracellulare,GC_Content,66,70
Mycobacterium intracellulare,Completeness_Specific,93,
Mycobacterium intracellulare,Contamination,,14
Mycobacterium intracellulare,Total_Coding_Sequences,4400,7800
Mycobacterium intracellulare,Genome_Size,4700000,8000000
Mycobacterium kansasii,N50,26000,
Mycobacterium kansasii,no_of_contigs,,540
Mycobacterium kansasii,GC_Content,64,68
Mycobacterium kansasii,Completeness_Specific,98,
Mycobacterium kansasii,Contamination,,3
Mycobacterium kansasii,Total_Coding_Sequences,5100,7000
Mycobacterium kansasii,Genome_Size,5600000,7600000
Mycobacterium marinum,N50,20000,
Mycobacterium marinum,no_of_contigs,,690
Mycobacterium marinum,GC_Content,64,67
Mycobacterium marinum,Completeness_Specific,96,
Mycobacterium marinum,Contamination,,4
Mycobacterium marinum,Total_Coding_Sequences,4700,6600
Mycobacterium marinum,Genome_Size,4700000,7400000
Mycobacterium smegmatis,N50,55000,
Mycobacterium smegmatis,no_of_contigs,,320
Mycobacterium smegmatis,GC_Content,66,69
Mycobacterium smegmatis,Completeness_Specific,96,
Mycobacterium smegmatis,Contamination,,6
Mycobacterium smegmatis,Total_Coding_Sequences,5800,7600
Mycobacterium smegmatis,Genome_Size,6100000,7900000
Mycobacterium tuberculosis,N50,30000,
Mycobacterium tuberculosis,no_of_contigs,,350
Mycobacterium tuberculosis,GC_Content,64,67
Mycobacterium tuberculosis,Completeness_Specific,94,
Mycobacterium tuberculosis,Contamination,,4
Mycobacterium tuberculosis,Total_Coding_Sequences,3600,5000
Mycobacterium tuberculosis,Genome_Size,3800000,5000000
Mycobacterium xenopi,Genome_Size,4200000,5300000
Mycobacterium xenopi,GC_Content,64,67
Mycobacterium xenopi,Total_Coding_Sequences,4300,5300
Mycobacterium xenopi,Completeness_Specific,98,
Mycobacterium xenopi,Contamination,,3
Mycobacterium xenopi,no_of_contigs,,160
Mycobacterium xenopi,N50,88000,
Mycoplasmoides pneumoniae,N50,27000,
Mycoplasmoides pneumoniae,no_of_contigs,,110
Mycoplasmoides pneumoniae,GC_Content,38,42
Mycoplasmoides pneumoniae,Completeness_Specific,95,
Mycoplasmoides pneumoniae,Contamination,,8
Mycoplasmoides pneumoniae,Total_Coding_Sequences,600,1000
Mycoplasmoides pneumoniae,Genome_Size,600000,1000000
Mycoplasmopsis bovis,N50,7000,
Mycoplasmopsis bovis,no_of_contigs,,300
Mycoplasmopsis bovis,GC_Content,27,31
Mycoplasmopsis bovis,Completeness_Specific,91,
Mycoplasmopsis bovis,Contamination,,9
Mycoplasmopsis bovis,Total_Coding_Sequences,700,1200
Mycoplasmopsis bovis,Genome_Size,800000,1300000
Neisseria bergeri,N50,87000,
Neisseria bergeri,no_of_contigs,,110
Neisseria bergeri,GC_Content,51,53
Neisseria bergeri,Completeness_Specific,98,
Neisseria bergeri,Contamination,,2
Neisseria bergeri,Total_Coding_Sequences,1600,2400
Neisseria bergeri,Genome_Size,1700000,2500000
Neisseria flavescens,N50,43000,
Neisseria flavescens,no_of_contigs,,140
Neisseria flavescens,GC_Content,47,51
Neisseria flavescens,Completeness_Specific,97,
Neisseria flavescens,Contamination,,2
Neisseria flavescens,Total_Coding_Sequences,1800,2700
Neisseria flavescens,Genome_Size,1900000,2700000
Neisseria gonorrhoeae,N50,23000,
Neisseria gonorrhoeae,no_of_contigs,,690
Neisseria gonorrhoeae,GC_Content,51,54
Neisseria gonorrhoeae,Completeness_Specific,95,
Neisseria gonorrhoeae,Contamination,,4
Neisseria gonorrhoeae,Total_Coding_Sequences,1800,2800
Neisseria gonorrhoeae,Genome_Size,1800000,2600000
Neisseria lactamica,N50,53000,
Neisseria lactamica,no_of_contigs,,130
Neisseria lactamica,GC_Content,50,54
Neisseria lactamica,Completeness_Specific,98,
Neisseria lactamica,Contamination,,2
Neisseria lactamica,Total_Coding_Sequences,1700,2500
Neisseria lactamica,Genome_Size,1800000,2600000
Neisseria meningitidis,N50,16000,
Neisseria meningitidis,no_of_contigs,,340
Neisseria meningitidis,GC_Content,50,54
Neisseria meningitidis,Completeness_Specific,96,
Neisseria meningitidis,Contamination,,4
Neisseria meningitidis,Total_Coding_Sequences,1700,2700
Neisseria meningitidis,Genome_Size,1800000,2300000
Neisseria perflava,N50,124000,
Neisseria perflava,no_of_contigs,,80
Neisseria perflava,GC_Content,47,51
Neisseria perflava,Completeness_Specific,98,
Neisseria perflava,Contamination,,3
Neisseria perflava,Total_Coding_Sequences,1800,2600
Neisseria perflava,Genome_Size,1900000,2700000
Neisseria polysaccharea,N50,69000,
Neisseria polysaccharea,no_of_contigs,,90
Neisseria polysaccharea,GC_Content,50,54
Neisseria polysaccharea,Completeness_Specific,97,
Neisseria polysaccharea,Contamination,,2
Neisseria polysaccharea,Total_Coding_Sequences,1600,2400
Neisseria polysaccharea,Genome_Size,1700000,2500000
Oenococcus oeni,N50,77000,
Oenococcus oeni,no_of_contigs,,70
Oenococcus oeni,GC_Content,36,40
Oenococcus oeni,Completeness_Specific,95,
Oenococcus oeni,Contamination,,5
Oenococcus oeni,Total_Coding_Sequences,1600,2300
Oenococcus oeni,Genome_Size,1500000,2200000
Orientia tsutsugamushi,N50,0,
Orientia tsutsugamushi,no_of_contigs,,3670
Orientia tsutsugamushi,GC_Content,28,46
Orientia tsutsugamushi,Completeness_Specific,3,
Orientia tsutsugamushi,Contamination,,10
Orientia tsutsugamushi,Total_Coding_Sequences,200,5400
Orientia tsutsugamushi,Genome_Size,100000,2900000
Ornithobacterium rhinotracheale,N50,26000,
Ornithobacterium rhinotracheale,no_of_contigs,,230
Ornithobacterium rhinotracheale,GC_Content,36,40
Ornithobacterium rhinotracheale,Completeness_Specific,86,
Ornithobacterium rhinotracheale,Contamination,,7
Ornithobacterium rhinotracheale,Total_Coding_Sequences,1900,2700
Ornithobacterium rhinotracheale,Genome_Size,2000000,2700000
Paenibacillus larvae,N50,19000,
Paenibacillus larvae,no_of_contigs,,880
Paenibacillus larvae,GC_Content,42,47
Paenibacillus larvae,Completeness_Specific,84,
Paenibacillus larvae,Contamination,,5
Paenibacillus larvae,Total_Coding_Sequences,3400,5800
Paenibacillus larvae,Genome_Size,3300000,5300000
Parabacteroides distasonis,N50,25000,
Parabacteroides distasonis,no_of_contigs,,450
Parabacteroides distasonis,GC_Content,43,47
Parabacteroides distasonis,Completeness_Specific,90,
Parabacteroides distasonis,Contamination,,6
Parabacteroides distasonis,Total_Coding_Sequences,3500,5500
Parabacteroides distasonis,Genome_Size,4200000,6200000
Parabacteroides goldsteinii,N50,32000,
Parabacteroides goldsteinii,no_of_contigs,,670
Parabacteroides goldsteinii,GC_Content,42,45
Parabacteroides goldsteinii,Completeness_Specific,95,
Parabacteroides goldsteinii,Contamination,,6
Parabacteroides goldsteinii,Total_Coding_Sequences,4500,6900
Parabacteroides goldsteinii,Genome_Size,5700000,8300000
Parabacteroides merdae,N50,38000,
Parabacteroides merdae,no_of_contigs,,350
Parabacteroides merdae,GC_Content,43,47
Parabacteroides merdae,Completeness_Specific,93,
Parabacteroides merdae,Contamination,,8
Parabacteroides merdae,Total_Coding_Sequences,3100,5200
Parabacteroides merdae,Genome_Size,3800000,5900000
Pasteurella multocida,N50,23000,
Pasteurella multocida,no_of_contigs,,190
Pasteurella multocida,GC_Content,39,42
Pasteurella multocida,Completeness_Specific,89,
Pasteurella multocida,Contamination,,4
Pasteurella multocida,Total_Coding_Sequences,1800,3200
Pasteurella multocida,Genome_Size,1900000,3100000
Pectobacterium brasiliense,N50,118000,
Pectobacterium brasiliense,no_of_contigs,,150
Pectobacterium brasiliense,GC_Content,50,54
Pectobacterium brasiliense,Completeness_Specific,94,
Pectobacterium brasiliense,Contamination,,3
Pectobacterium brasiliense,Total_Coding_Sequences,3700,5100
Pectobacterium brasiliense,Genome_Size,4100000,5700000
Pediococcus acidilactici,N50,113000,
Pediococcus acidilactici,no_of_contigs,,70
Pediococcus acidilactici,GC_Content,40,44
Pediococcus acidilactici,Completeness_Specific,89,
Pediococcus acidilactici,Contamination,,8
Pediococcus acidilactici,Total_Coding_Sequences,1500,2500
Pediococcus acidilactici,Genome_Size,1600000,2500000
Pediococcus pentosaceus,N50,188000,
Pediococcus pentosaceus,no_of_contigs,,60
Pediococcus pentosaceus,GC_Content,36,39
Pediococcus pentosaceus,Completeness_Specific,83,
Pediococcus pentosaceus,Contamination,,10
Pediococcus pentosaceus,Total_Coding_Sequences,1500,2400
Pediococcus pentosaceus,Genome_Size,1500000,2300000
Phocaeicola dorei,N50,27000,
Phocaeicola dorei,no_of_contigs,,560
Phocaeicola dorei,GC_Content,40,44
Phocaeicola dorei,Completeness_Specific,97,
Phocaeicola dorei,Contamination,,6
Phocaeicola dorei,Total_Coding_Sequences,3500,5900
Phocaeicola dorei,Genome_Size,4400000,6700000
Phocaeicola vulgatus,N50,27000,
Phocaeicola vulgatus,no_of_contigs,,640
Phocaeicola vulgatus,GC_Content,40,44
Phocaeicola vulgatus,Completeness_Specific,96,
Phocaeicola vulgatus,Contamination,,4
Phocaeicola vulgatus,Total_Coding_Sequences,3400,5900
Phocaeicola vulgatus,Genome_Size,4100000,6400000
Priestia megaterium,N50,164000,
Priestia megaterium,no_of_contigs,,220
Priestia megaterium,GC_Content,35,40
Priestia megaterium,Completeness_Specific,91,
Priestia megaterium,Contamination,,14
Priestia megaterium,Total_Coding_Sequences,4600,8000
Priestia megaterium,Genome_Size,4500000,7600000
Proteus mirabilis,N50,25000,
Proteus mirabilis,no_of_contigs,,360
Proteus mirabilis,GC_Content,37,41
Proteus mirabilis,Completeness_Specific,85,
Proteus mirabilis,Contamination,,13
Proteus mirabilis,Total_Coding_Sequences,2900,4900
Proteus mirabilis,Genome_Size,3300000,5100000
Providencia rettgeri,N50,13000,
Providencia rettgeri,no_of_contigs,,660
Providencia rettgeri,GC_Content,39,45
Providencia rettgeri,Completeness_Specific,94,
Providencia rettgeri,Contamination,,7
Providencia rettgeri,Total_Coding_Sequences,3300,5400
Providencia rettgeri,Genome_Size,3600000,5600000
Providencia stuartii,N50,19000,
Providencia stuartii,no_of_contigs,,500
Providencia stuartii,GC_Content,40,43
Providencia stuartii,Completeness_Specific,86,
Providencia stuartii,Contamination,,11
Providencia stuartii,Total_Coding_Sequences,3400,5200
Providencia stuartii,Genome_Size,3700000,5400000
Pseudoalteromonas nigrifaciens,N50,372000,
Pseudoalteromonas nigrifaciens,no_of_contigs,,80
Pseudoalteromonas nigrifaciens,GC_Content,38,42
Pseudoalteromonas nigrifaciens,Completeness_Specific,98,
Pseudoalteromonas nigrifaciens,Contamination,,2
Pseudoalteromonas nigrifaciens,Total_Coding_Sequences,3100,4400
Pseudoalteromonas nigrifaciens,Genome_Size,3400000,4800000
Pseudomonas aeruginosa,N50,31000,
Pseudomonas aeruginosa,no_of_contigs,,550
Pseudomonas aeruginosa,GC_Content,64,68
Pseudomonas aeruginosa,Completeness_Specific,94,
Pseudomonas aeruginosa,Contamination,,8
Pseudomonas aeruginosa,Total_Coding_Sequences,5000,8400
Pseudomonas aeruginosa,Genome_Size,5400000,8500000
Pseudomonas alloputida,N50,47000,
Pseudomonas alloputida,no_of_contigs,,370
Pseudomonas alloputida,GC_Content,60,64
Pseudomonas alloputida,Completeness_Specific,98,
Pseudomonas alloputida,Contamination,,3
Pseudomonas alloputida,Total_Coding_Sequences,4600,7000
Pseudomonas alloputida,Genome_Size,5100000,7500000
Pseudomonas asiatica,N50,33000,
Pseudomonas asiatica,no_of_contigs,,390
Pseudomonas asiatica,GC_Content,60,65
Pseudomonas asiatica,Completeness_Specific,95,
Pseudomonas asiatica,Contamination,,4
Pseudomonas asiatica,Total_Coding_Sequences,4600,7000
Pseudomonas asiatica,Genome_Size,5000000,7400000
Pseudomonas avellanae,N50,24000,
Pseudomonas avellanae,no_of_contigs,,570
Pseudomonas avellanae,GC_Content,57,60
Pseudomonas avellanae,Completeness_Specific,97,
Pseudomonas avellanae,Contamination,,3
Pseudomonas avellanae,Total_Coding_Sequences,4600,6800
Pseudomonas avellanae,Genome_Size,5100000,7300000
Pseudomonas fluorescens,N50,39000,
Pseudomonas fluorescens,no_of_contigs,,360
Pseudomonas fluorescens,GC_Content,57,65
Pseudomonas fluorescens,Completeness_Specific,94,
Pseudomonas fluorescens,Contamination,,5
Pseudomonas fluorescens,Total_Coding_Sequences,4500,7600
Pseudomonas fluorescens,Genome_Size,4900000,8300000
Pseudomonas fulva,N50,109000,
Pseudomonas fulva,no_of_contigs,,230
Pseudomonas fulva,GC_Content,59,66
Pseudomonas fulva,Completeness_Specific,94,
Pseudomonas fulva,Contamination,,11
Pseudomonas fulva,Total_Coding_Sequences,3800,6000
Pseudomonas fulva,Genome_Size,4200000,6400000
Pseudomonas glycinae,N50,120000,
Pseudomonas glycinae,no_of_contigs,,170
Pseudomonas glycinae,GC_Content,59,62
Pseudomonas glycinae,Completeness_Specific,97,
Pseudomonas glycinae,Contamination,,6
Pseudomonas glycinae,Total_Coding_Sequences,5100,6500
Pseudomonas glycinae,Genome_Size,5700000,7100000
Pseudomonas juntendi,N50,40000,
Pseudomonas juntendi,no_of_contigs,,390
Pseudomonas juntendi,GC_Content,60,64
Pseudomonas juntendi,Completeness_Specific,98,
Pseudomonas juntendi,Contamination,,3
Pseudomonas juntendi,Total_Coding_Sequences,4400,6500
Pseudomonas juntendi,Genome_Size,4700000,6900000
Pseudomonas marginalis,N50,31000,
Pseudomonas marginalis,no_of_contigs,,390
Pseudomonas marginalis,GC_Content,58,62
Pseudomonas marginalis,Completeness_Specific,98,
Pseudomonas marginalis,Contamination,,9
Pseudomonas marginalis,Total_Coding_Sequences,5400,7800
Pseudomonas marginalis,Genome_Size,5900000,8400000
Pseudomonas monteilii,N50,38000,
Pseudomonas monteilii,no_of_contigs,,400
Pseudomonas monteilii,GC_Content,60,64
Pseudomonas monteilii,Completeness_Specific,90,
Pseudomonas monteilii,Contamination,,7
Pseudomonas monteilii,Total_Coding_Sequences,4500,7100
Pseudomonas monteilii,Genome_Size,5000000,7600000
Pseudomonas paracarnis,N50,49000,
Pseudomonas paracarnis,no_of_contigs,,290
Pseudomonas paracarnis,GC_Content,58,62
Pseudomonas paracarnis,Completeness_Specific,98,
Pseudomonas paracarnis,Contamination,,2
Pseudomonas paracarnis,Total_Coding_Sequences,4700,6700
Pseudomonas paracarnis,Genome_Size,5200000,7300000
Pseudomonas protegens,N50,48000,
Pseudomonas protegens,no_of_contigs,,370
Pseudomonas protegens,GC_Content,60,65
Pseudomonas protegens,Completeness_Specific,96,
Pseudomonas protegens,Contamination,,3
Pseudomonas protegens,Total_Coding_Sequences,5300,7300
Pseudomonas protegens,Genome_Size,5900000,8100000
Pseudomonas putida,N50,29000,
Pseudomonas putida,no_of_contigs,,510
Pseudomonas putida,GC_Content,58,65
Pseudomonas putida,Completeness_Specific,94,
Pseudomonas putida,Contamination,,11
Pseudomonas putida,Total_Coding_Sequences,4100,7800
Pseudomonas putida,Genome_Size,4600000,8300000
Pseudomonas syringae,N50,4000,
Pseudomonas syringae,no_of_contigs,,2400
Pseudomonas syringae,GC_Content,57,63
Pseudomonas syringae,Completeness_Specific,93,
Pseudomonas syringae,Contamination,,7
Pseudomonas syringae,Total_Coding_Sequences,4400,7600
Pseudomonas syringae,Genome_Size,5000000,7500000
Ralstonia pseudosolanacearum,N50,31000,
Ralstonia pseudosolanacearum,no_of_contigs,,500
Ralstonia pseudosolanacearum,GC_Content,65,69
Ralstonia pseudosolanacearum,Completeness_Specific,95,
Ralstonia pseudosolanacearum,Contamination,,4
Ralstonia pseudosolanacearum,Total_Coding_Sequences,4200,6100
Ralstonia pseudosolanacearum,Genome_Size,4800000,6800000
Ralstonia solanacearum,N50,33000,
Ralstonia solanacearum,no_of_contigs,,420
Ralstonia solanacearum,GC_Content,65,68
Ralstonia solanacearum,Completeness_Specific,89,
Ralstonia solanacearum,Contamination,,6
Ralstonia solanacearum,Total_Coding_Sequences,3900,5800
Ralstonia solanacearum,Genome_Size,4500000,6500000
Renibacterium salmoninarum,Genome_Size,2700000,3400000
Renibacterium salmoninarum,GC_Content,55,58
Renibacterium salmoninarum,Total_Coding_Sequences,3000,3800
Renibacterium salmoninarum,Completeness_Specific,98,
Renibacterium salmoninarum,Contamination,,3
Renibacterium salmoninarum,no_of_contigs,,90
Renibacterium salmoninarum,N50,68000,
Rhizobium leguminosarum,N50,153000,
Rhizobium leguminosarum,no_of_contigs,,270
Rhizobium leguminosarum,GC_Content,59,63
Rhizobium leguminosarum,Completeness_Specific,94,
Rhizobium leguminosarum,Contamination,,8
Rhizobium leguminosarum,Total_Coding_Sequences,5800,9800
Rhizobium leguminosarum,Genome_Size,6000000,9700000
Salmonella arizonae,N50,62000,
Salmonella arizonae,no_of_contigs,,230
Salmonella arizonae,GC_Content,50,53
Salmonella arizonae,Completeness_Specific,96,
Salmonella arizonae,Contamination,,8
Salmonella arizonae,Total_Coding_Sequences,3700,6100
Salmonella arizonae,Genome_Size,3900000,6100000
Salmonella bongori,N50,30000,
Salmonella bongori,no_of_contigs,,290
Salmonella bongori,GC_Content,50,53
Salmonella bongori,Completeness_Specific,96,
Salmonella bongori,Contamination,,3
Salmonella bongori,Total_Coding_Sequences,3500,5200
Salmonella bongori,Genome_Size,3800000,5400000
Salmonella enterica,N50,55000,
Salmonella enterica,no_of_contigs,,220
Salmonella enterica,GC_Content,50,54
Salmonella enterica,Completeness_Specific,95,
Salmonella enterica,Contamination,,9
Salmonella enterica,Total_Coding_Sequences,3700,6600
Salmonella enterica,Genome_Size,4000000,6500000
Serratia bockelmannii,N50,43000,
Serratia bockelmannii,no_of_contigs,,330
Serratia bockelmannii,GC_Content,58,61
Serratia bockelmannii,Completeness_Specific,99,
Serratia bockelmannii,Contamination,,3
Serratia bockelmannii,Total_Coding_Sequences,4100,5700
Serratia bockelmannii,Genome_Size,4400000,6100000
Serratia liquefaciens,N50,53000,
Serratia liquefaciens,no_of_contigs,,340
Serratia liquefaciens,GC_Content,53,57
Serratia liquefaciens,Completeness_Specific,98,
Serratia liquefaciens,Contamination,,4
Serratia liquefaciens,Total_Coding_Sequences,4200,6400
Serratia liquefaciens,Genome_Size,4600000,6600000
Serratia marcescens,N50,50000,
Serratia marcescens,no_of_contigs,,260
Serratia marcescens,GC_Content,57,62
Serratia marcescens,Completeness_Specific,89,
Serratia marcescens,Contamination,,10
Serratia marcescens,Total_Coding_Sequences,4000,6400
Serratia marcescens,Genome_Size,4400000,6500000
Serratia nematodiphila,N50,18000,
Serratia nematodiphila,no_of_contigs,,640
Serratia nematodiphila,GC_Content,58,61
Serratia nematodiphila,Completeness_Specific,95,
Serratia nematodiphila,Contamination,,2
Serratia nematodiphila,Total_Coding_Sequences,4100,5900
Serratia nematodiphila,Genome_Size,4400000,6000000
Serratia nevei,N50,43000,
Serratia nevei,no_of_contigs,,470
Serratia nevei,GC_Content,57,62
Serratia nevei,Completeness_Specific,98,
Serratia nevei,Contamination,,4
Serratia nevei,Total_Coding_Sequences,4100,6400
Serratia nevei,Genome_Size,4400000,6600000
Serratia sarumannii,Genome_Size,4400000,6000000
Serratia sarumannii,GC_Content,58,62
Serratia sarumannii,Total_Coding_Sequences,4100,5500
Serratia sarumannii,Completeness_Specific,99,
Serratia sarumannii,Contamination,,2
Serratia sarumannii,no_of_contigs,,50
Serratia sarumannii,N50,191000,
Serratia ureilytica,N50,53000,
Serratia ureilytica,no_of_contigs,,210
Serratia ureilytica,GC_Content,58,61
Serratia ureilytica,Completeness_Specific,95,
Serratia ureilytica,Contamination,,3
Serratia ureilytica,Total_Coding_Sequences,4100,5800
Serratia ureilytica,Genome_Size,4100000,6000000
Sinorhizobium medicae,N50,28000,
Sinorhizobium medicae,no_of_contigs,,540
Sinorhizobium medicae,GC_Content,59,63
Sinorhizobium medicae,Completeness_Specific,86,
Sinorhizobium medicae,Contamination,,7
Sinorhizobium medicae,Total_Coding_Sequences,5500,8500
Sinorhizobium medicae,Genome_Size,5700000,8600000
Sinorhizobium meliloti,N50,30000,
Sinorhizobium meliloti,no_of_contigs,,560
Sinorhizobium meliloti,GC_Content,60,64
Sinorhizobium meliloti,Completeness_Specific,95,
Sinorhizobium meliloti,Contamination,,4
Sinorhizobium meliloti,Total_Coding_Sequences,5200,8300
Sinorhizobium meliloti,Genome_Size,5500000,8500000
Staphylococcus argenteus,N50,28000,
Staphylococcus argenteus,no_of_contigs,,270
Staphylococcus argenteus,GC_Content,31,34
Staphylococcus argenteus,Completeness_Specific,97,
Staphylococcus argenteus,Contamination,,2
Staphylococcus argenteus,Total_Coding_Sequences,2100,3100
Staphylococcus argenteus,Genome_Size,2300000,3200000
Staphylococcus aureus,N50,23000,
Staphylococcus aureus,no_of_contigs,,300
Staphylococcus aureus,GC_Content,31,35
Staphylococcus aureus,Completeness_Specific,94,
Staphylococcus aureus,Contamination,,5
Staphylococcus aureus,Total_Coding_Sequences,2100,3700
Staphylococcus aureus,Genome_Size,2300000,3600000
Staphylococcus capitis,N50,35000,
Staphylococcus capitis,no_of_contigs,,160
Staphylococcus capitis,GC_Content,31,35
Staphylococcus capitis,Completeness_Specific,96,
Staphylococcus capitis,Contamination,,2
Staphylococcus capitis,Total_Coding_Sequences,2000,3000
Staphylococcus capitis,Genome_Size,2100000,3000000
Staphylococcus chromogenes,N50,69000,
Staphylococcus chromogenes,no_of_contigs,,120
Staphylococcus chromogenes,GC_Content,35,38
Staphylococcus chromogenes,Completeness_Specific,96,
Staphylococcus chromogenes,Contamination,,3
Staphylococcus chromogenes,Total_Coding_Sequences,1900,2800
Staphylococcus chromogenes,Genome_Size,2000000,2800000
Staphylococcus coagulans,N50,64000,
Staphylococcus coagulans,no_of_contigs,,130
Staphylococcus coagulans,GC_Content,35,37
Staphylococcus coagulans,Completeness_Specific,98,
Staphylococcus coagulans,Contamination,,2
Staphylococcus coagulans,Total_Coding_Sequences,1800,2700
