species,metric,lower_bounds,upper_bounds
Bacillus licheniformis,Genome_Size,3600000,5400000
Bacillus mobilis,N50,16000,
Bacillus mobilis,no_of_contigs,,870
Bacillus mobilis,GC_Content,34,37
Bacillus mobilis,Completeness_Specific,99,
Bacillus mobilis,Contamination,,3
Bacillus mobilis,Total_Coding_Sequences,4800,6900
Bacillus mobilis,Genome_Size,4700000,6700000
Bacillus mycoides,N50,7000,
Bacillus mycoides,no_of_contigs,,1300
Bacillus mycoides,GC_Content,34,37
Bacillus mycoides,Completeness_Specific,97,
Bacillus mycoides,Contamination,,4
Bacillus mycoides,Total_Coding_Sequences,4700,7700
Bacillus mycoides,Genome_Size,4600000,7300000
Bacillus paralicheniformis,N50,117000,
Bacillus paralicheniformis,no_of_contigs,,170
Bacillus paralicheniformis,GC_Content,44,48
Bacillus paralicheniformis,Completeness_Specific,94,
Bacillus paralicheniformis,Contamination,,2
Bacillus paralicheniformis,Total_Coding_Sequences,3700,5300
Bacillus paralicheniformis,Genome_Size,3800000,5100000
Bacillus paranthracis,N50,13000,
Bacillus paranthracis,no_of_contigs,,870
Bacillus paranthracis,GC_Content,34,37
Bacillus paranthracis,Completeness_Specific,94,
Bacillus paranthracis,Contamination,,3
Bacillus paranthracis,Total_Coding_Sequences,4700,7000
Bacillus paranthracis,Genome_Size,4600000,6700000
Bacillus safensis,N50,158000,
Bacillus safensis,no_of_contigs,,110
Bacillus safensis,GC_Content,40,43
Bacillus safensis,Completeness_Specific,95,
Bacillus safensis,Contamination,,2
Bacillus safensis,Total_Coding_Sequences,3200,4800
Bacillus safensis,Genome_Size,3200000,4600000
Bacillus spizizenii,N50,131000,
Bacillus spizizenii,no_of_contigs,,110
Bacillus spizizenii,GC_Content,42,45
Bacillus spizizenii,Completeness_Specific,94,
Bacillus spizizenii,Contamination,,7
Bacillus spizizenii,Total_Coding_Sequences,3500,4800
Bacillus spizizenii,Genome_Size,3500000,4700000
Bacillus subtilis,N50,21000,
Bacillus subtilis,no_of_contigs,,510
Bacillus subtilis,GC_Content,41,46
Bacillus subtilis,Completeness_Specific,91,
Bacillus subtilis,Contamination,,13
Bacillus subtilis,Total_Coding_Sequences,3400,5500
Bacillus subtilis,Genome_Size,3300000,5100000
Bacillus thuringiensis,N50,16000,
Bacillus thuringiensis,no_of_contigs,,1000
Bacillus thuringiensis,GC_Content,33,37
Bacillus thuringiensis,Completeness_Specific,90,
Bacillus thuringiensis,Contamination,,6
Bacillus thuringiensis,Total_Coding_Sequences,4600,8000
Bacillus thuringiensis,Genome_Size,4500000,7600000
Bacillus toyonensis,N50,17000,
Bacillus toyonensis,no_of_contigs,,790
Bacillus toyonensis,GC_Content,33,37
Bacillus toyonensis,Completeness_Specific,95,
Bacillus toyonensis,Contamination,,3
Bacillus toyonensis,Total_Coding_Sequences,4600,7200
Bacillus toyonensis,Genome_Size,4500000,7100000
Bacillus velezensis,N50,130000,
Bacillus velezensis,no_of_contigs,,130
Bacillus velezensis,GC_Content,44,48
Bacillus velezensis,Completeness_Specific,95,
Bacillus velezensis,Contamination,,3
Bacillus velezensis,Total_Coding_Sequences,3300,5000
Bacillus velezensis,Genome_Size,3300000,4900000
Bacillus wiedmannii,N50,26000,
Bacillus wiedmannii,no_of_contigs,,560
Bacillus wiedmannii,GC_Content,33,37
Bacillus wiedmannii,Completeness_Specific,97,
Bacillus wiedmannii,Contamination,,3
Bacillus wiedmannii,Total_Coding_Sequences,4800,7100
Bacillus wiedmannii,Genome_Size,4700000,6900000
Bacteroides caccae,N50,60000,
Bacteroides caccae,no_of_contigs,,420
Bacteroides caccae,GC_Content,40,44
Bacteroides caccae,Completeness_Specific,93,
Bacteroides caccae,Contamination,,7
Bacteroides caccae,Total_Coding_Sequences,3300,5600
Bacteroides caccae,Genome_Size,4100000,6400000
Bacteroides cellulosilyticus,N50,45000,
Bacteroides cellulosilyticus,no_of_contigs,,550
Bacteroides cellulosilyticus,GC_Content,41,45
Bacteroides cellulosilyticus,Completeness_Specific,98,
Bacteroides cellulosilyticus,Contamination,,5
Bacteroides cellulosilyticus,Total_Coding_Sequences,4400,6700
Bacteroides cellulosilyticus,Genome_Size,5900000,8400000
Bacteroides fragilis,N50,20000,
Bacteroides fragilis,no_of_contigs,,550
Bacteroides fragilis,GC_Content,42,45
Bacteroides fragilis,Completeness_Specific,96,
Bacteroides fragilis,Contamination,,8
Bacteroides fragilis,Total_Coding_Sequences,3500,5600
Bacteroides fragilis,Genome_Size,4300000,6400000
Bacteroides ovatus,N50,24000,
Bacteroides ovatus,no_of_contigs,,610
Bacteroides ovatus,GC_Content,40,44
Bacteroides ovatus,Completeness_Specific,91,
Bacteroides ovatus,Contamination,,6
Bacteroides ovatus,Total_Coding_Sequences,4200,7000
Bacteroides ovatus,Genome_Size,5500000,8500000
Bacteroides stercoris,N50,21000,
Bacteroides stercoris,no_of_contigs,,390
Bacteroides stercoris,GC_Content,44,48
Bacteroides stercoris,Completeness_Specific,91,
Bacteroides stercoris,Contamination,,11
Bacteroides stercoris,Total_Coding_Sequences,2600,4600
Bacteroides stercoris,Genome_Size,3100000,5300000
Bacteroides thetaiotaomicron,N50,15000,
Bacteroides thetaiotaomicron,no_of_contigs,,1030
Bacteroides thetaiotaomicron,GC_Content,41,45
Bacteroides thetaiotaomicron,Completeness_Specific,92,
Bacteroides thetaiotaomicron,Contamination,,6
Bacteroides thetaiotaomicron,Total_Coding_Sequences,3900,6700
Bacteroides thetaiotaomicron,Genome_Size,5200000,7900000
Bacteroides uniformis,N50,22000,
Bacteroides uniformis,no_of_contigs,,510
Bacteroides uniformis,GC_Content,44,48
Bacteroides uniformis,Completeness_Specific,90,
Bacteroides uniformis,Contamination,,10
Bacteroides uniformis,Total_Coding_Sequences,3100,5300
Bacteroides uniformis,Genome_Size,3800000,6100000
Bacteroides xylanisolvens,N50,14000,
Bacteroides xylanisolvens,no_of_contigs,,1080
Bacteroides xylanisolvens,GC_Content,40,44
Bacteroides xylanisolvens,Completeness_Specific,93,
Bacteroides xylanisolvens,Contamination,,10
Bacteroides xylanisolvens,Total_Coding_Sequences,3900,6600
Bacteroides xylanisolvens,Genome_Size,5100000,7700000
Bartonella krasnovii,N50,54000,
Bartonella krasnovii,no_of_contigs,,320
Bartonella krasnovii,GC_Content,36,40
Bartonella krasnovii,Completeness_Specific,93,
Bartonella krasnovii,Contamination,,3
Bartonella krasnovii,Total_Coding_Sequences,1500,2300
Bartonella krasnovii,Genome_Size,1800000,2500000
Bifidobacterium adolescentis,N50,56000,
Bifidobacterium adolescentis,no_of_contigs,,100
Bifidobacterium adolescentis,GC_Content,57,62
Bifidobacterium adolescentis,Completeness_Specific,92,
Bifidobacterium adolescentis,Contamination,,7
Bifidobacterium adolescentis,Total_Coding_Sequences,1400,2400
Bifidobacterium adolescentis,Genome_Size,1800000,2700000
Bifidobacterium animalis,N50,69000,
Bifidobacterium animalis,no_of_contigs,,60
Bifidobacterium animalis,GC_Content,59,62
Bifidobacterium animalis,Completeness_Specific,93,
Bifidobacterium animalis,Contamination,,5
Bifidobacterium animalis,Total_Coding_Sequences,1400,1900
Bifidobacterium animalis,Genome_Size,1700000,2300000
Bifidobacterium bifidum,N50,59000,
Bifidobacterium bifidum,no_of_contigs,,80
Bifidobacterium bifidum,GC_Content,61,64
Bifidobacterium bifidum,Completeness_Specific,91,
Bifidobacterium bifidum,Contamination,,6
Bifidobacterium bifidum,Total_Coding_Sequences,1500,2500
Bifidobacterium bifidum,Genome_Size,1900000,2800000
