species,scheme,metric,FINAL_lower,FINAL_upper,WARN_lower,WARN_upper,source,engine_severity,lower,upper,ml_lower,ml_upper,auto_lower,auto_upper,refseq_lower,refseq_upper
Klebsiella oxytoca,enterobase-v2.3,Genome_Size,4300000,7300000,,,external,,4300000,7300000,,,,,,
Klebsiella oxytoca,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Klebsiella oxytoca,enterobase-v2.3,no_of_contigs,,800,,,external,,,800,,,,,,
Klebsiella pasteurii,enterobase-v2.3,Genome_Size,4300000,7300000,,,external,,4300000,7300000,,,,,,
Klebsiella pasteurii,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Klebsiella pasteurii,enterobase-v2.3,no_of_contigs,,800,,,external,,,800,,,,,,
Klebsiella planticola,enterobase-v2.3,Genome_Size,4300000,7300000,,,external,,4300000,7300000,,,,,,
Klebsiella planticola,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Klebsiella planticola,enterobase-v2.3,no_of_contigs,,800,,,external,,,800,,,,,,
Klebsiella pneumoniae,enterobase-v2.3,Genome_Size,4300000,7300000,,,external,,4300000,7300000,,,,,,
Klebsiella pneumoniae,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Klebsiella pneumoniae,enterobase-v2.3,no_of_contigs,,800,,,external,,,800,,,,,,
Klebsiella quasipneumoniae,enterobase-v2.3,Genome_Size,4300000,7300000,,,external,,4300000,7300000,,,,,,
Klebsiella quasipneumoniae,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Klebsiella quasipneumoniae,enterobase-v2.3,no_of_contigs,,800,,,external,,,800,,,,,,
Klebsiella quasivariicola,enterobase-v2.3,Genome_Size,4300000,7300000,,,external,,4300000,7300000,,,,,,
Klebsiella quasivariicola,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Klebsiella quasivariicola,enterobase-v2.3,no_of_contigs,,800,,,external,,,800,,,,,,
Klebsiella spallanzanii,enterobase-v2.3,Genome_Size,4300000,7300000,,,external,,4300000,7300000,,,,,,
Klebsiella spallanzanii,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Klebsiella spallanzanii,enterobase-v2.3,no_of_contigs,,800,,,external,,,800,,,,,,
Klebsiella variicola,enterobase-v2.3,Genome_Size,4300000,7300000,,,external,,4300000,7300000,,,,,,
Klebsiella variicola,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Klebsiella variicola,enterobase-v2.3,no_of_contigs,,800,,,external,,,800,,,,,,
Listeria grayi,enterobase-v2.3,Genome_Size,2500000,3300000,,,external,,2500000,3300000,,,,,,
Listeria grayi,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Listeria grayi,enterobase-v2.3,no_of_contigs,,600,,,external,,,600,,,,,,
Listeria innocua,enterobase-v2.3,Genome_Size,2500000,3300000,,,external,,2500000,3300000,,,,,,
Listeria innocua,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Listeria innocua,enterobase-v2.3,no_of_contigs,,600,,,external,,,600,,,,,,
Listeria monocytogenes,enterobase-v2.3,Genome_Size,2500000,3300000,,,external,,2500000,3300000,,,,,,
Listeria monocytogenes,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Listeria monocytogenes,enterobase-v2.3,no_of_contigs,,600,,,external,,,600,,,,,,
Listeria seeligeri,enterobase-v2.3,Genome_Size,2500000,3300000,,,external,,2500000,3300000,,,,,,
Listeria seeligeri,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Listeria seeligeri,enterobase-v2.3,no_of_contigs,,600,,,external,,,600,,,,,,
Listeria welshimeri,enterobase-v2.3,Genome_Size,2500000,3300000,,,external,,2500000,3300000,,,,,,
Listeria welshimeri,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Listeria welshimeri,enterobase-v2.3,no_of_contigs,,600,,,external,,,600,,,,,,
Moraxella bovoculi,enterobase-v2.3,Genome_Size,1800000,2600000,,,external,,1800000,2600000,,,,,,
Moraxella bovoculi,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Moraxella bovoculi,enterobase-v2.3,no_of_contigs,,600,,,external,,,600,,,,,,
Moraxella catarrhalis,enterobase-v2.3,Genome_Size,1800000,2600000,,,external,,1800000,2600000,,,,,,
