species,scheme,metric,FINAL_lower,FINAL_upper,WARN_lower,WARN_upper,source,engine_severity,lower,upper,ml_lower,ml_upper,auto_lower,auto_upper,refseq_lower,refseq_upper
Aeromonas caviae,qualibact-v1.0,Genome_Size,4200000,5400000,4200000,4900000,computed,warn,4200000,5400000,4251051.32,5317260,4251051.325,4970911.905000001,4372365.5,5314153.2
Aeromonas caviae,qualibact-v1.0,GC_Content,60.36,62.07,60.89,62,computed,warn,60.36,62.07,60.3651,62.0613,60.6914275,62.061265,60.37533,61.82792
Aeromonas caviae,qualibact-v1.0,Total_Coding_Sequences,3800,5200,3800,4700,computed,warn,3800,5200,3877.36,5133,3877.355,4791.515,4069.8,5110.2
Aeromonas caviae,qualibact-v1.0,Completeness_Specific,98,,100,100,computed,warn,98,,98.11,100,100,100,98.209,100
Aeromonas caviae,qualibact-v1.0,Contamination,,6,0,1,computed,warn,,6,0,5.96,0,0.8921500000000003,0.28500000000000003,4.93400000000001
Aeromonas caviae,qualibact-v1.0,N50,27000,,35000,498465.85,computed,warn,27000,,27546.78,498465.85,27546.78,498465.8450000043,,
Aeromonas caviae,qualibact-v1.0,no_of_contigs,,610,44,450,computed,warn,,610,44,609.46,44,609.4600000000014,,
Aeromonas caviae,qualibact-v1.0,longest,,,102344.82,1238102.43,computed,warn,,,102344.82,1238102.43,102344.82,1238102.4300000006,,
Aeromonas dhakensis,qualibact-v1.0,Genome_Size,4600000,5100000,4600000,5000000,computed,warn,4600000,5100000,4630875.38,5043286,4630875.38,4992073.76,4707869.06,5041799.62
Aeromonas dhakensis,qualibact-v1.0,GC_Content,60.97,61.98,61.24,61.96,computed,warn,60.97,61.98,60.9725,61.9708,61.151,61.970775999999994,60.97278,61.798556000000005
Aeromonas dhakensis,qualibact-v1.0,Total_Coding_Sequences,4100,4700,4100,4500,computed,warn,4100,4700,4125.36,4700,4125.36,4558.28,4344.4,4696.355
Aeromonas dhakensis,qualibact-v1.0,Completeness_Specific,97,,100,100,computed,warn,97,,97.12,100,100,100,97.309,99.9944
Aeromonas dhakensis,qualibact-v1.0,Contamination,,1,0.12,1,computed,warn,,1,0.12,0.66,0.1178,0.65,0.13,0.6558
Aeromonas dhakensis,qualibact-v1.0,N50,61000,,63000,917678.94,computed,warn,61000,,61753.36,917678.94,61753.36,917678.9399999998,,
Aeromonas dhakensis,qualibact-v1.0,no_of_contigs,,180,38.9,180,computed,warn,,180,38.9,174.54,38.9,174.54,,
Aeromonas dhakensis,qualibact-v1.0,longest,,,147013.06,1726260.86,computed,warn,,,147013.06,1726260.86,147013.06,1726260.86,,
Aeromonas hydrophila,qualibact-v1.0,Genome_Size,4400000,5700000,4600000,5400000,computed,warn,4400000,5700000,4496339,5633455,4650965.2,5387908.799999999,4508050.98,5564004.149999999
Aeromonas hydrophila,qualibact-v1.0,GC_Content,60.3,62.02,60.73,61.65,computed,warn,60.3,62.02,60.3014,62.0126,60.65124,61.689,60.329816,61.894718
Aeromonas hydrophila,qualibact-v1.0,Total_Coding_Sequences,4000,5400,4100,5000,computed,warn,4000,5400,4093,5341,4184.6,5003.2,4121.49,5268.849999999999
Aeromonas hydrophila,qualibact-v1.0,Completeness_Specific,89,,100,100,computed,warn,89,,89.22,100,100,100,89.7824,99.3756
Aeromonas hydrophila,qualibact-v1.0,Contamination,,8,0.16,2,computed,warn,,8,0.16,7.55,0.16,1.44,0.7596,6.917299999999992
